"","nGene","nUMI","orig.ident","S.Score","G2M.Score","Phase","old.ident"
"H6_P1_M45_L001",2315,14638.14,"H6",0.0113763907077229,-0.0982109252051267,"S","H6"
"H6_P3_M45_L001",2199,15131.1,"H6",-0.0178475860861544,0.0247867718876616,"G2M","H6"
"H6_P4_M45_L001",2234,15175.31,"H6",0.0857589135742602,-0.0690659150609287,"S","H6"
"H6_P5_M45_L001",1705,11664.71,"H6",-0.0824730414306805,0.0076360625008525,"G2M","H6"
"H7_P1_M45_L001",2342,15270.98,"H7",-0.102349966959983,-0.0870586264280742,"G1","H7"
"H7_P3_M45_L001",2095,14242.21,"H7",0.0114056100844805,0.0359635102108376,"G2M","H7"
"H7_P4_M45_L001",1945,13975.86,"H7",-0.0562148581970275,0.0276364960405321,"G2M","H7"
"H7_P5_M45_L001",1694,12029.91,"H7",0.0731047743244863,0.0531321130042044,"S","H7"
"H8_P1_M45_L001",1956,13572.34,"H8",0.0474920048475638,-0.0896576184411453,"S","H8"
"H8_P3_M45_L001",2208,15129.59,"H8",0.05330430877663,-0.017172391757389,"S","H8"
"H8_P4_M45_L001",1783,12861.25,"H8",0.121318859279301,-0.116211016736369,"S","H8"
"H8_P5_M45_L001",2287,15547.05,"H8",-0.0218487911016911,-0.147932366400455,"G1","H8"
"H9_P1_M45_L001",1895,12037.25,"H9",-0.155986675556521,-0.115721153240315,"G1","H9"
"H9_P3_M45_L001",2722,16887.3,"H9",-0.0650342214522248,-0.183074168160787,"G1","H9"
"H9_P4_M45_L001",2023,13762.14,"H9",-0.00252366049499847,-0.0716315928134519,"G1","H9"
"H9_P5_M45_L001",1667,11623.14,"H9",-0.103436342725312,-0.14409473473644,"G1","H9"
"A10_P1_MMD7_L001",1714,11751.72,"A10",-0.0966502677036156,-0.0209128268986189,"G1","A10"
"A10_P2_MMD7_L001",2032,13627.78,"A10",-0.00237844778188809,-0.0999415871868699,"G1","A10"
"A10_P3_MMD7_L001",2130,13778.98,"A10",0.0101007641540482,-0.0274806744596225,"S","A10"
"A10_P4_MMD7_L001",1438,9686.94,"A10",-0.112134034451605,-0.123913562033777,"G1","A10"
"A11_P1_MMD7_L001",1809,11893.75,"A11",-0.0824053955812075,-0.073050823590453,"G1","A11"
"A11_P2_MMD7_L001",1564,10333.5,"A11",-0.061418503316637,-0.0979416826355038,"G1","A11"
"A11_P3_MMD7_L001",1536,10643.37,"A11",-0.0775537414172757,-0.090129558186807,"G1","A11"
"A11_P4_MMD7_L001",1809,11790.25,"A11",0.0297013031389311,-0.0538406011723925,"S","A11"
"A12_P2_MMD7_L001",1966,13428.61,"A12",-0.0157880468001501,-0.0228223609866787,"G1","A12"
"A12_P3_MMD7_L001",1522,10564.48,"A12",-0.0615818085609977,-0.0864441711097232,"G1","A12"
"A12_P4_MMD7_L001",1709,11769.36,"A12",-0.0982039077989564,-0.171129909663123,"G1","A12"
"A2_P3_MMD7_L001",2555,16449.42,"A2",-0.00971678152431943,-0.0784813006906372,"G1","A2"
"A3_P1_MMD7_L001",2022,13453.61,"A3",-0.10336765027951,-0.0989841091583585,"G1","A3"
"A3_P2_MMD7_L001",1464,10125.46,"A3",0.0021113019377631,-0.159792463627564,"S","A3"
"A3_P3_MMD7_L001",1559,10881.54,"A3",-0.0257623356406252,0.00577169760484564,"G2M","A3"
"A4_P2_MMD7_L001",1900,12493.28,"A4",-0.104742322202715,-0.0557227415091038,"G1","A4"
"A4_P3_MMD7_L001",1370,9956.9,"A4",-0.00215366649398173,-0.117923791144231,"G1","A4"
"A4_P4_MMD7_L001",1648,11008.31,"A4",-0.0101690267978535,-0.0232423733823883,"G1","A4"
"A5_P1_MMD7_L001",1869,12375.02,"A5",-0.0323661425671353,-0.0385420095660734,"G1","A5"
"A5_P2_MMD7_L001",1731,11603.44,"A5",-0.0367545795372427,-0.0877814235450721,"G1","A5"
"A5_P3_MMD7_L001",1644,11481.63,"A5",-0.0252765275247165,-0.068377765643874,"G1","A5"
"A5_P4_MMD7_L001",1628,11078.94,"A5",-0.0886870393587413,-0.136758419494564,"G1","A5"
